No.,Product Name,"Packing Size
(PC)","Ctn Price
(SGD)
(W/O GST)","Unit Price
(SGD)
(W/O GST)","Unit Cost 
(SGD - PC)
(W/O GST)","Unit Cost (9%)
(SGD - PC)","Unit Cost (9.16%)
(SGD - PC)",TMG Selling Price,UNIT PROFIT ($),Profit Margin - % ,"TMG
Promotion
Price",Supplier
1,100 PLUS 1.5L,12.0,36.0,3.0,0.9118541033434652,0.0,1.0023640661938535,1.5,0.4976359338061464,0.3317572892040976,1.5,Unknown
1,ICE COOL YOUNG COCONUT W P 310ML ,24.0,15.0,0.625,0.625,0.68125,0.0,0.8666,0.18535,0.2138818370643895,0.8666,SHENG SHENG F&B INDUSTRIES PTE LTD
2,ICE COOL BIRDS NEST 300ML ,24.0,9.5,0.3958333333333333,0.3958333333333333,0.4314583333333333,0.0,0.6583,0.2268416666666666,0.3445870676996304,0.6583,SHENG SHENG F&B INDUSTRIES PTE LTD
3,ICE COOL ROSE BANDUNG 310ML         ,24.0,10.0,0.4166666666666667,0.4166666666666667,0.4541666666666667,0.0,0.6583,0.2041333333333332,0.3100916502101371,0.6583,SHENG SHENG F&B INDUSTRIES PTE LTD
4,CHA PAI POMELO GREEN TEA 500ML              ,15.0,10.8333,0.72222,0.72222,0.7872198,0.0,1.25,0.4627802,0.3702241599999999,1.25,SHENG SHENG F&B INDUSTRIES PTE LTD
5,CHA PAI PEACH OOLONG 500ML        ,15.0,10.8333,0.72222,0.72222,0.7872198,0.0,1.25,0.4627802,0.3702241599999999,1.25,SHENG SHENG F&B INDUSTRIES PTE LTD
6,CHA PAI GRAPE OOLONG TEA 500ML         ,15.0,10.8333,0.72222,0.72222,0.7872198,0.0,1.25,0.4627802,0.3702241599999999,1.25,SHENG SHENG F&B INDUSTRIES PTE LTD
9,KSF ICE LEMON TEA 500 ML             ,15.0,8.1666,0.54444,0.54444,0.5934396000000001,0.0,0.9,0.3065603999999999,0.3406226666666666,0.9,SHENG SHENG F&B INDUSTRIES PTE LTD
