Barcode,Product Name,Packing Size,Previous Price,Pack Price,Supplier,Selling Price,Promotion Price,Other,Filename
,lot 100 sour gummy sberry 95g,24.0,25.23347483323226,25.23347483323226,jb yap brothers food sdn bhd,2.25,2.25,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,mamee express cup chicken  60gx8 (sp),8.0,22.741055184960583,22.741055184960583,jb yap brothers food sdn bhd,4.5,4.5,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,mamee express cup tom yum 60gx8 (sp),8.0,22.741055184960583,22.741055184960583,jb yap brothers food sdn bhd,4.5,4.5,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,mamee express cup curry 60gx8 (sp),8.0,22.741055184960583,22.741055184960583,jb yap brothers food sdn bhd,4.5,4.5,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,mamee express cup vegetarian 60gx8 (sp),8.0,22.741055184960583,22.741055184960583,jb yap brothers food sdn bhd,4.5,4.5,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,pringles bbq 102g,12.0,18.989690721649485,18.989690721649485,jb yap brothers food sdn bhd,2.4,2.4,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,pringles cheesy cheese 102g,12.0,18.989690721649485,18.989690721649485,jb yap brothers food sdn bhd,2.4,2.4,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,pringles hs 102g,12.0,18.989690721649485,18.989690721649485,jb yap brothers food sdn bhd,2.4,2.4,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,pringles orig 107g,12.0,18.989690721649485,18.989690721649485,jb yap brothers food sdn bhd,2.4,2.4,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,pringles sour cream 107g,12.0,18.989690721649485,18.989690721649485,jb yap brothers food sdn bhd,2.4,2.4,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
