Barcode,Product Name,Packing Size,Previous Price,Discount,Pack Price,Supplier,Selling Price,Promotion Price,Other,Filename
,CADBURY CHOCOLATE 120GM X 24 BITE SIZE ALMOND,24.0,60.0,0.0,60.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,CADBURY CHOCOLATE 125GM X 16 DOYPACK OREO,16.0,40.0,0.0,40.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,ADIDAS DEO SPRAY 150ML X 12 DYNAMIC PULSE,12.0,27.2,0.0,27.2,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DETTOL ANTISEPTIC LIQUID (INDIA) 1LT X 12 ORIGINAL (PET),12.0,57.0,0.0,57.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DETTOL ANTISEPTIC LIQUID (INDIA) 550ML X 24 ORIGINAL,24.0,67.2,0.0,67.2,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE BODYWASH (INDIA) 1LTR X 12 SAKURA (NFS) (PI),12.0,48.65,0.0,48.65,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE BODYWASH (INDIA) 1LTR X 12 SENSITIVE SKIN (NFS) (PI),12.0,48.65,0.0,48.65,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE SHAMPOO (UAE) 400ML X 12 DAILY CARE (NFS),12.0,28.35,0.0,28.35,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOWNY FABRIC SOFTNER 240ML X 24 GARDEN BLOOM CLEANSLOB,24.0,11.52,0.0,11.52,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,GILLETTE SHAVING FOAM 200ML X 6 CLASSIC,6.0,12.5,0.0,12.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,AER CAR FRESHENER 75GM X 4 X 15 COOL AQUA,60.0,52.5,0.0,52.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,AER CAR FRESHENER 75GM X 4 X 15 MUSK AFTER SMOKE,60.0,52.5,0.0,52.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,AER CAR FRESHENER 75GM X 4 X 15 ROSE BLOSSOM,60.0,52.5,0.0,52.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,LIFEBUOY BODYWASH (INDIA) 1LTR X 12 COOL FRESH,12.0,45.9,0.0,45.9,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,LIFEBUOY BODYWASH (INDIA) 1LTR X 12 LEMON FRESH,12.0,45.9,0.0,45.9,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REVLON COLORSILK NEW 10 BLACK 1 X 12 (NBC),12.0,37.08,0.0,37.08,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REVLON COLORSILK NEW 11 SOFT BLACK 1 X 12,12.0,37.08,0.0,37.08,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,REVLON COLORSILK NEW 20 BROWN BLACK 1 X 12 (NBC),12.0,37.08,0.0,37.08,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
