Product Name,Processed Product Name,Packing Style,Packing Size,Packing Price,Previous Packing Price,Exchange Rate,Supplier
DYNAMO DET LIQ FRESH 2.5L,DYNAMO DET LIQ FRESH,2.5L,6.0,40.8,,1.0,TGS GROUP SDN BHD
ORIENTAL SUPER RING 60G,ORIENTAL SUPER RING,60G,60.0,30.0,,1.0,TGS GROUP SDN BHD
KAO WIDE BLEACH COLOR LIQUID 2L,KAO WIDE BLEACH COLOR LIQUID,2L,6.0,21.0,,1.0,TGS GROUP SDN BHD
KNORR INSTANT CUP PORRIDGE 32G - CHIC,KNORR INSTANT CUP PORRIDGE,32G,36.0,31.0,,1.0,TGS GROUP SDN BHD
COKE 1.25L,COKE,1.25L,12.0,8.7,,1.0,TGS GROUP SDN BHD
DYNAMO DET LIQ COLOR CARE 2.5L,DYNAMO DET LIQ COLOR CARE,2.5L,6.0,40.8,,1.0,TGS GROUP SDN BHD
MAMEE CHEF CURRY LAKSA 80GX4S,MAMEE CHEF CURRY LAKSA,80GX4S,8.0,15.0,,1.0,TGS GROUP SDN BHD
MAMEE MONSTER BBQ 25Gx10,MAMEE MONSTER BBQ,25Gx10,10.0,13.5,,1.0,TGS GROUP SDN BHD
POKKA LEMON TEA 500ML,POKKA LEMON TEA,500ML,24.0,17.2,,1.0,TGS GROUP SDN BHD
MARIGOLD UHT MILK 3X200ML - STRAWBERRY,MARIGOLD UHT MILK,3X200ML,8.0,9.5,,1.0,TGS GROUP SDN BHD
KNORR CUP MASHED POTATO CHEESE 26G,KNORR CUP MASHED POTATO CHEESE,26G,36.0,44.0,,1.0,TGS GROUP SDN BHD
POKKA OOLONG TEA 500ML,POKKA OOLONG TEA,500ML,24.0,17.2,,1.0,TGS GROUP SDN BHD
OBASAN STEAM CAKE CHOCOLATE 100G,OBASAN STEAM CAKE CHOCOLATE,100G,20.0,12.5,,1.0,TGS GROUP SDN BHD
DYNAMO DET LIQ ANTIBAC 2.5L,DYNAMO DET LIQ ANTIBAC,2.5L,6.0,40.8,,1.0,TGS GROUP SDN BHD
MUNCHYS CRACKERS WHEAT CRK 276G,MUNCHYS CRACKERS WHEAT CRK,276G,12.0,18.85,,1.0,TGS GROUP SDN BHD
POKKA OOLONG TEA 1500ML,POKKA OOLONG TEA,1500ML,12.0,18.5,,1.0,TGS GROUP SDN BHD
MAGGI HOT CUP CHICKEN 66G,MAGGI HOT CUP CHICKEN,66G,54.0,34.8,,1.0,TGS GROUP SDN BHD
POKKA OOLONG TEA PACKET 250MLX6,POKKA OOLONG TEA CAN,"",4.0,7.6,,1.0,TGS GROUP SDN BHD
BREEZE DET LIQ GENTLE SKIN 3.6KG,BREEZE DET LIQ GENTLE SKIN,3.6KG,4.0,24.0,,1.0,TGS GROUP SDN BHD
POPO MURUKU SEAWEED 12Gx24,POPO MURUKU SEAWEED,12Gx24,20.0,29.0,,1.0,TGS GROUP SDN BHD
POPO MURUKU SWEET SPICY 12Gx24,POPO MURUKU SWEET SPICY,12Gx24,20.0,29.0,,1.0,TGS GROUP SDN BHD
APOLLO LYR CAKE BANANA 18Gx24,APOLLO LYR CAKE BANANA,18Gx24,12.0,27.2,,1.0,TGS GROUP SDN BHD
FUDO SWISS ROLL CAKE CHOCO 18Gx24S,FUDO SWISS ROLL CAKE CHOCO,18G,12.0,20.0,,1.0,TGS GROUP SDN BHD
MUNCHYS OAT KRUNCH BFAST 192G - CRANBERRY,MUNCHYS OAT KRUNCH BFAST,192G,12.0,21.0,,1.0,TGS GROUP SDN BHD
KICKAPOO 1.5L,KICKAPOO,1.5L,12.0,12.85,,1.0,TGS GROUP SDN BHD
MAMEE CURRY 75Gx5,MAMEE CURRY,75Gx5,8.0,11.5,,1.0,TGS GROUP SDN BHD
MAMEE EXPRESS CUP TOMYAM 68G,MAMEE EXPRESS CUP TOMYAM,68G,24.0,13.0,,1.0,TGS GROUP SDN BHD
FUDO SWISS ROLL CAKE TIRAMISU 18Gx24S,FUDO SWISS ROLL CAKE TIRAMISU,18G,12.0,20.0,,1.0,TGS GROUP SDN BHD
CRISPY ORIG CHOC MINI 6S,CRISPY ORIG CHOC MINI,6S,90.0,84.0,,1.0,TGS GROUP SDN BHD
MAMEE EXPRESS CUP VEGETABLE 68G,MAMEE EXPRESS CUP VEGETABLE,68G,24.0,13.0,,1.0,TGS GROUP SDN BHD
MAGICLEAN TOILET BLEACHPOWER ORI 500ML,MAGICLEAN TOILET BLEACHPOWER ORI,500ML,12.0,24.0,,1.0,TGS GROUP SDN BHD
JULIES BUTTER CRKS 200G,JULIES BUTTER CRKS,200G,24.0,34.5,,1.0,TGS GROUP SDN BHD
SPRITE 1.25L,SPRITE,1.25L,12.0,8.9,,1.0,TGS GROUP SDN BHD
MUNCHYS FUNMIX ASSORTED BISCUITS 900G,MUNCHYS FUNMIX ASSORTED BISCUITS,900G,6.0,26.0,,1.0,TGS GROUP SDN BHD
POPO MURUKU FISH 12Gx24,POPO MURUKU FISH,12Gx24,20.0,29.0,,1.0,TGS GROUP SDN BHD
ORIENTAL GREEN PEAS 14Gx8,ORIENTAL GREEN PEAS,14Gx8,30.0,35.5,,1.0,TGS GROUP SDN BHD
POKKA LEMON TEA 1.5L,POKKA LEMON TEA,1.5L,12.0,18.5,,1.0,TGS GROUP SDN BHD
APOLLO LYR CAKE CHOC 18Gx24,APOLLO LYR CAKE CHOC,18Gx24,12.0,30.5,,1.0,TGS GROUP SDN BHD
POPO MURUKU SPICY CHICKEN 12Gx24,POPO MURUKU,12Gx24,20.0,29.0,,1.0,TGS GROUP SDN BHD
POKKA LEMON TEA PACKET 250MLX6,POKKA LEMON TEA PACKET,250MLX6,4.0,7.6,,1.0,TGS GROUP SDN BHD
