Barcode,Product Name,Packing Size,Previous Price,Discount,Pack Price,Supplier,Selling Price,Promotion Price,Other,Filename
"",DETTOL ANTISEPTIC LIQUID (INDIA) 1LT X 12 ORIGINAL (PET),12.0,57.0,0.0,57.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
"",DOVE DEO (ARNFS) 150ML X 12 ORIGINAL,12.0,24.0,0.0,24.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
"",DOVE SHAMPOO (UAE) 200ML X 24 DAILY CARE (NFS),24.0,31.2,0.0,31.2,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
"",DOVE SHAMPOO (UAE) 200ML X 24 DAILY CARE 2IN1 (NFS),24.0,31.2,0.0,31.2,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
"",DOVE SHAMPOO (UAE) 400ML X 12 DAILY CARE (NFS),12.0,28.35,0.0,28.35,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
"",DOVE SHAMPOO (UAE) 400ML X 12 MOISTURIZING (NFS),12.0,28.35,0.0,28.35,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
"",GILLETTE SHAVING FOAM 200ML X 6 CLASSIC,6.0,12.5,0.0,12.5,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
"",GLADE SCENTED GEL 180GM X 12 APPLE,12.0,21.31,0.0,21.31,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
"",GLADE SCENTED GEL 165GM X 12 LAVENDER,12.0,21.31,0.0,21.31,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
"",HARPIC TOILET CLEANER (MY) 500ML X 12 LAVENDER,12.0,13.8,0.0,13.8,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
"",LIFEBUOY BODYWASH (INDIA) 1LTR X 12 COOL FRESH,12.0,45.9,0.0,45.9,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
