Barcode,Product Name,Packing Size,Previous Price,Pack Price,Pack Price Currency,GST,Supplier,TMG Selling Price,TMG Promotion Price,Other,Filename,Redundant,Previous
None,shoonfatt cream crks sp 180g,10.0,6.8,6.8,SGD,,biscotti trading pte ltd,1.25,1.25,None,None,None,None
None,shoonfatt sugar crks 180g,10.0,6.8,6.8,SGD,,biscotti trading pte ltd,1.25,1.25,None,None,None,None
None,cake cheese pound 150g,24.0,18.3,18.3,SGD,,biscotti trading pte ltd,1.5,1.5,None,None,None,None
None,cake chocolate pound 150g,24.0,18.3,18.3,SGD,,biscotti trading pte ltd,1.5,1.5,None,None,None,None
None,cake marble pound 150g,24.0,18.3,18.3,SGD,,biscotti trading pte ltd,1.5,1.5,None,None,None,None
None,cake pandan pound 150g,24.0,18.3,18.3,SGD,,biscotti trading pte ltd,1.5,1.5,None,None,None,None
None,cake fruit pound 150gm,24.0,18.3,18.3,SGD,,biscotti trading pte ltd,1.5,1.5,None,None,None,None
None,shoonfatt cheese crks 120g,12.0,7.0,7.0,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt biscuit lavish cheese swich 190g,12.0,13.4,13.4,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt biscuit lavish chocolate swich 190g,12.0,13.4,13.4,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt biscuit lavish pnutbutter swich 190g,12.0,13.4,13.4,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt biscuit lavish vegetable crks 200g,12.0,12.4,12.4,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt biscuit lemon flavoured sandwich 114g,12.0,9.1,9.1,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt bis colada lighttreat ccsp 200g,12.0,13.4,13.4,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt biscuit mefar coco sandwich 111g,12.0,9.1,9.1,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt biscuit mefar coffee sandwich 120g,12.0,9.1,9.1,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt biscuit mefar chocolate sandwich 114g,12.0,9.1,9.1,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt biscuit pineapple jam 120g,12.0,7.0,7.0,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt bpnutbutter swich 175g,12.0,13.8,13.8,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt popcorn crks 175g,10.0,7.2,7.2,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,shoonfatt colada bis sweeties sugar crks 200g,12.0,13.4,13.4,SGD,,biscotti trading pte ltd,,,None,None,None,None
None,prime ice pop 500ml,12.0,3.4,3.4,SGD,,bhavna pte ltd,0.6666,0.6666,None,None,None,None
None,prime sberry banana 500ml,12.0,3.4,3.4,SGD,,bhavna pte ltd,0.6666,0.6666,None,None,None,None
None,cif cream lemon 660ml,16.0,18.5,18.5,SGD,,bhavna pte ltd,1.95,1.95,None,None,None,None
None,cif cream orig 660ml,16.0,18.5,18.5,SGD,,bhavna pte ltd,1.95,1.95,None,None,None,None
None,colgate 3ple action or mint 200g,72.0,92.0,92.0,SGD,,bhavna pte ltd,2.0,2.0,None,None,None,None
None,kotex pants over night (ml size),16.0,26.88,26.88,SGD,,bhavna pte ltd,2.5,2.5,None,None,None,None
None,lifebuoy bw cool fresh 1l,12.0,45.9,45.9,SGD,,bhavna pte ltd,5.5,5.5,None,None,None,None
None,lifebuoy bw lemon fresh 1l,12.0,45.9,45.9,SGD,,bhavna pte ltd,5.5,5.5,None,None,None,None
None,lifebuoy bw total 10 1l,12.0,45.9,45.9,SGD,,bhavna pte ltd,5.5,5.5,None,None,None,None
None,dettol antiseptic liq 1l,12.0,57.0,57.0,SGD,,bhavna pte ltd,7.95,7.95,None,None,None,None
None,harpic toilet cleaner 450ml  citrus,12.0,13.8,13.8,SGD,,bhavna pte ltd,1.95,1.95,None,None,None,None
None,herbal essence argan oil conditioner 400ml,6.0,7.8,7.8,SGD,,bhavna pte ltd,4.95,4.95,None,None,None,None
None,pepsodent toothpaste white 190g,48.0,34.82,34.82,SGD,,bhavna pte ltd,1.5,1.5,None,None,None,None
None,ponds ff pw pure bright 100ml (3048),24.0,33.4,33.4,SGD,,bhavna pte ltd,2.5,2.5,None,None,None,None
None,rexona wom deo roll powder dry 50ml,24.0,24.5,24.5,SGD,,bhavna pte ltd,1.95,1.95,None,None,None,None
None,colgate tp fresh cool mint 180g,72.0,68.0,68.0,SGD,,bhavna pte ltd,1.95,1.95,None,None,None,None
None,pepsodent toothpaste 120g,72.0,34.5,34.5,SGD,,bhavna pte ltd,1.0,1.0,None,None,None,None
None,ponds ff wb bright beauty 100ml (3031),24.0,33.4,33.4,SGD,,bhavna pte ltd,2.5,2.5,None,None,None,None
None,ponds whip foam ultimate clarity 100ml (2182),24.0,33.4,33.4,SGD,,bhavna pte ltd,2.5,2.5,None,None,None,None
None,ponds whip foam oil control (2199),24.0,33.4,33.4,SGD,,bhavna pte ltd,2.5,2.5,None,None,None,None
None,meiji yan yan choc 50g,80.0,61.6,61.6,SGD,,candy world marketing (s) pte ltd,1.25,1.25,None,None,None,None
None,nutella  go 48g,12.0,19.0,19.0,SGD,,candy world marketing (s) pte ltd,2.5,2.5,None,None,None,None
None,pola snack orig 15gx10,10.0,14.0,14.0,SGD,,candy world marketing (s) pte ltd,2.35,2.35,None,None,None,None
None,meiji yan yan sberry 50g,80.0,61.6,61.6,SGD,,candy world marketing (s) pte ltd,1.25,1.25,None,None,None,None
None,meiji yan yan vanilla 50g,80.0,61.6,61.6,SGD,,candy world marketing (s) pte ltd,1.25,1.25,None,None,None,None
None,cwm black plum slice 70g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm cherry plum 80g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm cured prune 50g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm peach dice 70g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm lemon kumquat 70g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm seedless licorice olives 60g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm papaya 110g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm prune flesh 60g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm preserved plum 80g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm orange peel 70g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm red seedless plum 70g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm seedless plum 70g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm si qin mei 80g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm seedless prune 30g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm sberry prune (dried) 70g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm white prune 70g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,cwm small white prune 70g,10.0,8.5,8.5,SGD,,candy world marketing (s) pte ltd,1.3,1.3,None,None,None,None
None,energizer e91 aa max 6s,96.0,240.0,240.0,SGD,,unknown,3.8,3.8,None,None,None,None
None,energizer e92 aaa max 6s,96.0,240.0,240.0,SGD,,unknown,3.8,3.8,None,None,None,None
None,eveready 1215 batt aa 4s,200.0,176.0,176.0,SGD,,unknown,1.5,1.5,None,None,None,None
None,eveready 1212 batt aaa 4s,250.0,220.0,220.0,SGD,,unknown,1.5,1.5,None,None,None,None
None,gp ultra battery aax6,120.0,192.0,192.0,SGD,,unknown,2.5,2.5,None,None,None,None
None,gp ultra battery aaax6,120.0,192.0,192.0,SGD,,unknown,2.5,2.5,None,None,None,None
None,100 plus can (my),24.0,9.6,9.6,SGD,,hock leong teck kee pte ltd,0.65,0.65,None,None,None,None
None,100 plus zero 500ml (my),24.0,14.5,14.5,SGD,,hock leong teck kee pte ltd,1.0,1.0,None,None,None,None
None,100 plus original 500ml (my),24.0,13.0,13.0,SGD,,hock leong teck kee pte ltd,1.0,1.0,None,None,None,None
None,yeos 24x250ml pkt chrysanthemum,4.0,5.9,5.9,SGD,,hock leong teck kee pte ltd,2.25,2.25,None,None,None,None
None,1500ml pokka ice lemon tea bot,12.0,18.5,18.5,SGD,,hock leong teck kee pte ltd,2.25,2.25,None,None,None,None
None,1500ml pokka peach tea bot,12.0,18.5,18.5,SGD,,hock leong teck kee pte ltd,2.25,2.25,None,None,None,None
None,1500mlpokka oolong tea (bottle),12.0,18.5,18.5,SGD,,hock leong teck kee pte ltd,2.25,2.25,None,None,None,None
None,1500mlpokka green tea (bottle),12.0,18.5,18.5,SGD,,hock leong teck kee pte ltd,2.25,2.25,None,None,None,None
None,qoo white grape 12x300ml,12.0,6.1,6.1,SGD,,hock leong teck kee pte ltd,,,None,None,None,None
None,7up 24320ml can,24.0,7.8,7.8,SGD,,hock leong teck kee pte ltd,0.55,0.55,None,None,None,None
None,coke (my) 320ml  24,24.0,9.5,9.5,SGD,,hock leong teck kee pte ltd,0.6,0.6,None,None,None,None
None,coke zero 15l  12 bot (s),12.0,11.8,11.8,SGD,,hock leong teck kee pte ltd,1.5,1.5,None,None,None,None
None,coke zero can 12320ml,12.0,5.75,5.75,SGD,,hock leong teck kee pte ltd,0.7,0.7,None,None,None,None
None,coke zero can 24  320ml,24.0,11.5,11.5,SGD,,hock leong teck kee pte ltd,0.7,0.7,None,None,None,None
None,hsc oldenlandia water 325ml,24.0,12.5,12.5,SGD,,hock leong teck kee pte ltd,0.8,0.8,None,None,None,None
None,milo packet drink 200mlx6,4.0,11.3,11.3,SGD,,hock leong teck kee pte ltd,3.5,3.5,None,None,None,None
None,mountain dew 24320ml can,24.0,8.0,8.0,SGD,,hock leong teck kee pte ltd,0.55,0.55,None,None,None,None
None,mug sarsaparilla can,24.0,8.0,8.0,SGD,,hock leong teck kee pte ltd,0.55,0.55,None,None,None,None
None,pepsi cola 24x320ml (can),24.0,7.8,7.8,SGD,,hock leong teck kee pte ltd,0.55,0.55,None,None,None,None
None,pokka (pkt) lemon tea my,4.0,8.2,8.2,SGD,,hock leong teck kee pte ltd,3.25,3.25,None,None,None,None
None,pokka (pkt) oolong tea,4.0,7.5,7.5,SGD,,hock leong teck kee pte ltd,3.25,3.25,None,None,None,None
None,pokka green tea slim can 300ml,24.0,11.0,11.0,SGD,,hock leong teck kee pte ltd,0.65,0.65,None,None,None,None
None,pokka ice lemon tea bot 500ml,24.0,17.5,17.5,SGD,,hock leong teck kee pte ltd,,,None,None,None,None
None,pokka ice lemon tea (can),24.0,11.0,11.0,SGD,,hock leong teck kee pte ltd,0.65,0.65,None,None,None,None
None,pokka green tea bot 500ml,24.0,17.5,17.5,SGD,,hock leong teck kee pte ltd,1.2,1.2,None,None,None,None
None,pokka oolong tea (can),24.0,11.0,11.0,SGD,,hock leong teck kee pte ltd,0.65,0.65,None,None,None,None
None,pokka oolong tea bottle,24.0,18.5,18.5,SGD,,hock leong teck kee pte ltd,1.2,1.2,None,None,None,None
None,pokka peach tea bottle 500ml,24.0,18.5,18.5,SGD,,hock leong teck kee pte ltd,1.2,1.2,None,None,None,None
None,pokka peach tea less sugar (can),24.0,11.0,11.0,SGD,,hock leong teck kee pte ltd,,,None,None,None,None
None,pokka soursop juice (can),24.0,11.0,11.0,SGD,,hock leong teck kee pte ltd,0.7,0.7,None,None,None,None
None,redbull (thai) 250 ml,24.0,11.6,11.6,SGD,,hock leong teck kee pte ltd,0.7,0.7,None,None,None,None
None,ribena cheer pack (o) 330ml,24.0,17.6,17.6,SGD,,hock leong teck kee pte ltd,1.0,1.0,None,None,None,None
None,whale satay ikan (arrow) 130g,30.0,181.5,181.5,SGD,,hai seng hin,3.5,3.5,None,None,None,None
None,whale satay ikan 60g,30.0,106.5,106.5,SGD,,hai seng hin,1.95,1.95,None,None,None,None
None,whale satay ikan bijan 60gm,30.0,106.5,106.5,SGD,,hai seng hin,1.95,1.95,None,None,None,None
None,whale satay ikan 80g,30.0,151.5,151.5,SGD,,hai seng hin,2.5,2.5,None,None,None,None
None,whale satay ikan bijan 80gm,30.0,151.5,151.5,SGD,,hai seng hin,2.5,2.5,None,None,None,None
None,whale crispy cod fish seaweed 60g,30.0,94.5,94.5,SGD,,hai seng hin,1.95,1.95,None,None,None,None
None,whale kerepek ikan bilis 60gm,30.0,94.5,94.5,SGD,,hai seng hin,1.95,1.95,None,None,None,None
None,whale crispy cod fish sesame 60g,30.0,94.5,94.5,SGD,,hai seng hin,1.95,1.95,None,None,None,None
None,whale ikan garing gulung 70g,30.0,121.5,121.5,SGD,,hai seng hin,2.5,2.5,None,None,None,None
None,whale sotong garing gulung 32gm,30.0,115.5,115.5,SGD,,hai seng hin,1.95,1.95,None,None,None,None
None,whale sotong super 75gm,30.0,115.5,115.5,SGD,,hai seng hin,2.25,2.25,None,None,None,None
None,whale sotong bbq 60gm,30.0,85.5,85.5,SGD,,hai seng hin,2.25,2.25,None,None,None,None
None,whale salted egg cheesy fish skin 100gm,30.0,241.5,241.5,SGD,,hai seng hin,4.5,4.5,None,None,None,None
None,whale salted egg fish skin 70g,30.0,175.5,175.5,SGD,,hai seng hin,3.5,3.5,None,None,None,None
None,whale jelly fish crispy 70g,60.0,168.0,168.0,SGD,,hai seng hin,1.95,1.95,None,None,None,None
None,whale ikan garing 15s,40.0,120.0,120.0,SGD,,hai seng hin,2.5,2.5,None,None,None,None
None,whale dried fish slice cheese 12s,35.0,106.75,106.75,SGD,,hai seng hin,2.25,2.25,None,None,None,None
None,whale sotong panggang madu 12s,35.0,106.75,106.75,SGD,,hai seng hin,2.25,2.25,None,None,None,None
None,whale sotong bakar sugar 60g,50.0,142.5,142.5,SGD,,hai seng hin,1.95,1.95,None,None,None,None
None,whale dried fish fillet 50g,80.0,200.0,200.0,SGD,,hai seng hin,1.6666,1.6666,None,None,None,None
None,whale udang hiris 50gm,80.0,200.0,200.0,SGD,,hai seng hin,1.6666,1.6666,None,None,None,None
None,whale sotong (a) super merah 90gm,50.0,267.5,267.5,SGD,,hai seng hin,3.95,3.95,None,None,None,None
None,whale sotong (a) putih 80gm,50.0,312.5,312.5,SGD,,hai seng hin,3.95,3.95,None,None,None,None
None,whale sotong (a) putih pedas 80gm,50.0,312.5,312.5,SGD,,hai seng hin,3.95,3.95,None,None,None,None
None,whale sotong bakar orig 60g,50.0,142.5,142.5,SGD,,hai seng hin,1.95,1.95,None,None,None,None
None,whale sotong bakar spicy 60g,50.0,142.5,142.5,SGD,,hai seng hin,1.95,1.95,None,None,None,None
None,whale satay cucuk 20sx80gm,80.0,166.0,166.0,SGD,,hai seng hin,1.25,1.25,None,None,None,None
None,ice cool young coconut w p 310ml,24.0,15.0,15.0,SGD,,sheng sheng fb industries pte ltd,0.8666,0.8666,None,None,None,None
None,ice cool birds nest 300ml,24.0,9.5,9.5,SGD,,sheng sheng fb industries pte ltd,0.6583,0.6583,None,None,None,None
None,ice cool rose bandung 310ml,24.0,10.0,10.0,SGD,,sheng sheng fb industries pte ltd,0.6583,0.6583,None,None,None,None
None,hand brand groundnut 115g,60.0,62.5,62.5,SGD,,sheng sheng fb industries pte ltd,1.4,1.4,None,None,None,None
None,thumbs menglembu groundnut (combo) 30gx6,25.0,47.3,47.3,SGD,,sheng sheng fb industries pte ltd,2.75,2.75,None,None,None,None
None,cha pai pomelo green tea 500ml,15.0,10.8333,10.8333,SGD,,sheng sheng fb industries pte ltd,1.25,1.25,None,None,None,None
None,cha pai peach oolong 500ml,15.0,10.8333,10.8333,SGD,,sheng sheng fb industries pte ltd,1.25,1.25,None,None,None,None
None,cha pai grape oolong tea 500ml,15.0,10.8333,10.8333,SGD,,sheng sheng fb industries pte ltd,1.25,1.25,None,None,None,None
None,apollo choc wafer cr 1011 12gx12,80.0,57.2,57.2,SGD,,sheng sheng fb industries pte ltd,1.25,1.25,None,None,None,None
None,ksf honey pomelo 500ml,15.0,8.16666,8.16666,SGD,,sheng sheng fb industries pte ltd,0.9,0.9,None,None,None,None
None,ksf rock sugar snow pear 500ml,15.0,8.1666,8.16666,SGD,,sheng sheng fb industries pte ltd,0.9,0.9,None,None,None,None
None,ksf ice lemon tea 500 ml,15.0,8.1666,8.1666,SGD,,sheng sheng fb industries pte ltd,0.9,0.9,None,None,None,None
None,ice cool chry tea 300ml,24.0,7.0,7.0,SGD,,sheng sheng fb industries pte ltd,0.4083,0.4083,None,None,None,None
None,ice cool grass jelly drink 300ml,24.0,7.0,7.0,SGD,,sheng sheng fb industries pte ltd,0.4083,0.4083,None,None,None,None
None,ice cool soya bean 310ml,24.0,5.0,5.0,SGD,,sheng sheng fb industries pte ltd,0.4083,0.4083,None,None,None,None
None,ksf iced red tea 500ml,15.0,8.1666,8.1666,SGD,,sheng sheng fb industries pte ltd,0.9,0.9,None,None,None,None
None,samyang hotchic carbo ramen 105g,16.0,,,SGD,,sing long foodstuff trading pte ltd,,,None,None,None,None
None,samyang hotchic creamy carbo 120g,16.0,,,SGD,,sing long foodstuff trading pte ltd,,,None,None,None,None
None,samyang hotchic chez ramen 105g,16.0,,,SGD,,sing long foodstuff trading pte ltd,,,None,None,None,None
None,sl seasoned seaweed (perilla oil laver) 4gx8sx12,12.0,,,SGD,,sing long foodstuff trading pte ltd,,,None,None,None,None
None,spore houten chilli tapioca chips 35gx8,20.0,60.4444,60.4444,SGD,,singapore houten,4.95,4.95,None,None,None,None
None,tg 35g honey sunflower 1ctnx10bag,120.0,,,SGD,,tong garden food (singapore) pte ltd,0.75,0.75,None,None,None,None
None,tong garden honey peanuts (10x12pktx40g),120.0,,,SGD,,tong garden food (singapore) pte ltd,0.75,0.75,None,None,None,None
None,tong garden peanuts mixed anchovy (10x12pktx28g),120.0,,,SGD,,tong garden food (singapore) pte ltd,0.75,0.75,None,None,None,None
None,tonggarden coconout coated pnut (10x12pktx28g),120.0,,,SGD,,tong garden food (singapore) pte ltd,0.75,0.75,None,None,None,None
None,tong garden satay broad bean (10x12pktx40g),120.0,,,SGD,,tong garden food (singapore) pte ltd,0.75,0.75,None,None,None,None
None,tonggarden party snacks 40g,120.0,,,SGD,,tong garden food (singapore) pte ltd,0.75,0.75,None,None,None,None
None,tonggarden honey sunflower seed 30g,120.0,,,SGD,,tong garden food (singapore) pte ltd,0.75,0.75,None,None,None,None
None,tonggarden salted sunflower seed 30g,120.0,,,SGD,,tong garden food (singapore) pte ltd,0.75,0.75,None,None,None,None
None,dove sh daily shine 680ml,12.0,49.8,49.8,SGD,,u distribution pte ltd,6.25,6.25,None,None,None,None
None,dove co daily shine 660ml,12.0,49.8,49.8,SGD,,u distribution pte ltd,6.25,6.25,None,None,None,None
None,dove co intensive repair 660ml,12.0,49.8,49.8,SGD,,u distribution pte ltd,6.25,6.25,None,None,None,None
None,dove sh intensive repair 680ml,12.0,49.8,49.8,SGD,,u distribution pte ltd,6.25,6.25,None,None,None,None
None,dove sh anti dand 680ml,12.0,49.8,49.8,SGD,,u distribution pte ltd,6.25,6.25,None,None,None,None
None,lux liq magical orchid rf 800ml,12.0,37.8,37.8,SGD,,u distribution pte ltd,4.25,4.25,None,None,None,None
None,lux liq brightening glow rf 800ml,12.0,37.8,37.8,SGD,,u distribution pte ltd,4.25,4.25,None,None,None,None
None,lux liq rose rf 800ml,12.0,37.8,37.8,SGD,,u distribution pte ltd,4.25,4.25,None,None,None,None
None,sunsilk co perfect straight 300ml,12.0,34.2,34.2,SGD,,u distribution pte ltd,3.75,3.75,None,None,None,None
None,sunsilk co hairfall solution 300ml,12.0,34.2,34.2,SGD,,u distribution pte ltd,3.75,3.75,None,None,None,None
None,sunsilk sh smooth  manageable 625ml,12.0,51.0,51.0,SGD,,u distribution pte ltd,5.95,5.95,None,None,None,None
None,sunsilk co smooth  manageable 300ml,12.0,34.2,34.2,SGD,,u distribution pte ltd,3.75,3.75,None,None,None,None
None,sunsilk sh perfect straight 625ml,12.0,51.0,51.0,SGD,,u distribution pte ltd,5.95,5.95,None,None,None,None
None,sunsilk sh hairfall solution 625ml,12.0,51.0,51.0,SGD,,u distribution pte ltd,5.95,5.95,None,None,None,None
None,jia jia herbal tea 300ml,24.0,11.155,11.155,SGD,,unico distributions services pte ltd,0.7416,0.7416,None,None,None,None
None,jackjill pchips salsachilli 15gx8,10.0,,,SGD,,urc foods (singapore) pte ltd,3.0,3.0,None,None,None,None
None,jackjill pchips seaweed 70g,20.0,,,SGD,,urc foods (singapore) pte ltd,1.8,1.8,None,None,None,None
None,jackjill pchips bbq 15gx8,10.0,,,SGD,,urc foods (singapore) pte ltd,3.0,3.0,None,None,None,None
None,roller coaster cheese 18gx8,10.0,,,SGD,,urc foods (singapore) pte ltd,3.0,3.0,None,None,None,None
None,roller coaster bbq 18gx8,10.0,,,SGD,,urc foods (singapore) pte ltd,3.0,3.0,None,None,None,None
None,piattos sourcrm 85g,30.0,,,SGD,,urc foods (singapore) pte ltd,1.25,1.25,None,None,None,None
None,3 leg cooling water 200ml,48.0,,,SGD,,wen ken marketing (s) pte ltd,0.75,0.75,None,None,None,None
None,3 legs cw24 x 320ml (lychee flavor),24.0,,,SGD,,wen ken marketing (s) pte ltd,1.4,1.4,None,None,None,None
None,3 legs cw24 x 320ml (lime flavor),24.0,,,SGD,,wen ken marketing (s) pte ltd,1.4,1.4,None,None,None,None
None,3 legs cw24 x 320ml (guava flavor),24.0,,,SGD,,wen ken marketing (s) pte ltd,1.4,1.4,None,None,None,None
None,bake story kokopie choc coated cake with vanilla 20gx10pcsx9bags,9.0,16.8,16.8,SGD,,winstar marketing,2.95,2.95,None,None,None,None
None,bake story kokopie pandan with cream filing 20gx10pcsx9bags,9.0,16.8,16.8,SGD,,winstar marketing,2.95,2.95,None,None,None,None
None,bake story kokopie bagsmuffin original with cream filing 20gx10pcsx9bags,9.0,16.8,16.8,SGD,,winstar marketing,2.95,2.95,None,None,None,None
None,baked potato crisp sweet corn flavour 120g,12.0,9.6923,9.6923,SGD,,winstar marketing,1.25,1.25,None,None,None,None
None,baked potato crisp sweet potato flavour 120g,12.0,9.6923,9.6923,SGD,,winstar marketing,1.25,1.25,None,None,None,None
None,baked potato crisp tomato flavour 120g,12.0,9.6923,9.6923,SGD,,winstar marketing,1.25,1.25,None,None,None,None
None,baked potato crisp vegetable flavour 120g,12.0,9.6923,9.6923,SGD,,winstar marketing,1.25,1.25,None,None,None,None
None,baked potato crisp bbq flavour 120g,12.0,9.6923,9.6923,SGD,,winstar marketing,1.25,1.25,None,None,None,None
None,ikas kara squid 5gx6s  honey (1ctn x 4bags x 12pkts),48.0,36.8,36.8,SGD,,winstar marketing,1.25,1.25,None,None,None,None
None,ikas kara squid 5gx6s  orig    (1 ctn x 4bags x 12pkts),48.0,36.8,36.8,SGD,,winstar marketing,1.25,1.25,None,None,None,None
None,ikas kara squid 5gx6s  spicy    (1 ctn x 4bags x 12pkts),48.0,36.8,36.8,SGD,,winstar marketing,1.25,1.25,None,None,None,None
None,topp seafood flavoured rice congee 55g,12.0,10.9347,10.9347,SGD,,winstar marketing,1.4,1.4,None,None,None,None
None,lelek fish crackers 70g,24.0,28.0,28.0,SGD,,winstar marketing,1.9,1.9,None,None,None,None
None,lelek prawn crackers 70g,24.0,28.0,28.0,SGD,,winstar marketing,1.9,1.9,None,None,None,None
None,mini 1more chocolate coated wafer rolls 360g,12.0,19.0,19.0,SGD,,winstar marketing,2.5,2.5,None,None,None,None
